ID,Sales
T1188341,51970.666328600404
T1188342,33361.146892655364
T1188343,60844.82864450128
T1188344,35273.21575404766
T1188345,34982.214953271025
T1188346,60844.82864450128
T1188347,51970.666328600404
T1188348,44449.482071713144
T1188349,47420.13452188006
T1188350,32508.748514851486
T1188351,46478.80126728111
T1188352,34982.214953271025
T1188353,35542.63772330702
T1188354,38603.1652173913
T1188355,38099.450873362446
T1188356,30065.195235148516
T1188357,44452.43521594685
T1188358,22127.083939193653
T1188359,33361.146892655364
T1188360,46814.87022132797
T1188361,27976.36410550459
T1188362,35608.73854447439
T1188363,38099.450873362446
T1188364,27976.36410550459
T1188365,35608.73854447439
T1188366,29914.632841328414
T1188367,34982.214953271025
T1188368,29429.34705882353
T1188369,34982.214953271025
T1188370,45422.653603517494
T1188371,34982.214953271025
T1188372,46478.80126728111
T1188373,28829.47233468286
T1188374,30065.195235148516
T1188375,60844.82864450128
T1188376,52402.7350859454
T1188377,30065.195235148516
T1188378,34982.214953271025
T1188379,25794.42206235012
T1188380,60844.82864450128
T1188381,29914.632841328414
T1188382,34982.214953271025
T1188383,30155.15882352941
T1188384,29914.632841328414
T1188385,40416.92479908151
T1188386,35542.63772330702
T1188387,60844.82864450128
T1188388,56101.58405172414
T1188389,29429.34705882353
T1188390,78331.23185759927
T1188391,35542.63772330702
T1188392,48199.9932885906
T1188393,60844.82864450128
T1188394,42156.03048780488
T1188395,35542.63772330702
T1188396,60844.82864450128
T1188397,35542.63772330702
T1188398,38603.1652173913
T1188399,34982.214953271025
T1188400,44452.43521594685
T1188401,33361.146892655364
T1188402,20407.990936555892
T1188403,60844.82864450128
T1188404,33361.146892655364
T1188405,34982.214953271025
T1188406,23174.03187250996
T1188407,51970.666328600404
T1188408,35273.21575404766
T1188409,40665.437810945274
T1188410,23494.421678783874
T1188411,51970.666328600404
T1188412,22127.083939193653
T1188413,35542.63772330702
T1188414,27976.36410550459
T1188415,34982.214953271025
T1188416,38603.1652173913
T1188417,46478.80126728111
T1188418,35273.21575404766
T1188419,45422.653603517494
T1188420,56101.58405172414
T1188421,20407.990936555892
T1188422,48199.9932885906
T1188423,56101.58405172414
T1188424,35542.63772330702
T1188425,34982.214953271025
T1188426,35542.63772330702
T1188427,56101.58405172414
T1188428,34982.214953271025
T1188429,60844.82864450128
T1188430,45422.653603517494
T1188431,35542.63772330702
T1188432,19110.740535083292
T1188433,51970.666328600404
T1188434,35273.21575404766
T1188435,28636.844621513945
T1188436,45422.653603517494
T1188437,56101.58405172414
T1188438,23494.421678783874
T1188439,45205.319755600816
T1188440,34982.214953271025
T1188441,29914.632841328414
T1188442,33361.146892655364
T1188443,35542.63772330702
T1188444,38099.450873362446
T1188445,33361.146892655364
T1188446,26961.719157472417
T1188447,60844.82864450128
T1188448,51970.666328600404
T1188449,34982.214953271025
T1188450,35273.21575404766
T1188451,46814.87022132797
T1188452,19110.740535083292
T1188453,45422.653603517494
T1188454,29914.632841328414
T1188455,60844.82864450128
T1188456,26159.882352941175
T1188457,26255.74196141479
T1188458,33361.146892655364
T1188459,60844.82864450128
T1188460,20407.990936555892
T1188461,42156.03048780488
T1188462,34982.214953271025
T1188463,21410.1377245509
T1188464,45422.653603517494
T1188465,33361.146892655364
T1188466,30065.195235148516
T1188467,23697.635627530366
T1188468,35273.21575404766
T1188469,35542.63772330702
T1188470,19110.740535083292
T1188471,34982.214953271025
T1188472,40416.92479908151
T1188473,40416.92479908151
T1188474,44452.43521594685
T1188475,19110.740535083292
T1188476,44449.482071713144
T1188477,35273.21575404766
T1188478,35542.63772330702
T1188479,19110.740535083292
T1188480,42156.03048780488
T1188481,47420.13452188006
T1188482,40416.92479908151
T1188483,46478.80126728111
T1188484,47420.13452188006
T1188485,27976.36410550459
T1188486,21410.1377245509
T1188487,35278.89473684211
T1188488,35542.63772330702
T1188489,34982.214953271025
T1188490,47420.13452188006
T1188491,35542.63772330702
T1188492,28829.47233468286
T1188493,29914.632841328414
T1188494,46478.80126728111
T1188495,25051.21938088829
T1188496,44452.43521594685
T1188497,23697.635627530366
T1188498,34982.214953271025
T1188499,34982.214953271025
T1188500,52402.7350859454
T1188501,30065.195235148516
T1188502,34982.214953271025
T1188503,26171.608163265308
T1188504,28829.47233468286
T1188505,29914.632841328414
T1188506,45422.653603517494
T1188507,35273.21575404766
T1188508,34982.214953271025
T1188509,26031.756032171583
T1188510,34982.214953271025
T1188511,29914.632841328414
T1188512,38099.450873362446
T1188513,28636.844621513945
T1188514,35273.21575404766
T1188515,56101.58405172414
T1188516,34982.214953271025
T1188517,48199.9932885906
T1188518,35273.21575404766
T1188519,45422.653603517494
T1188520,20407.990936555892
T1188521,46814.87022132797
T1188522,35542.63772330702
T1188523,27976.36410550459
T1188524,41629.756097560974
T1188525,60844.82864450128
T1188526,27976.36410550459
T1188527,35542.63772330702
T1188528,32508.748514851486
T1188529,45422.653603517494
T1188530,35542.63772330702
T1188531,46943.856573705176
T1188532,35273.21575404766
T1188533,34982.214953271025
T1188534,34982.214953271025
T1188535,51970.666328600404
T1188536,60844.82864450128
T1188537,56101.58405172414
T1188538,56101.58405172414
T1188539,44452.43521594685
T1188540,38099.450873362446
T1188541,35542.63772330702
T1188542,60844.82864450128
T1188543,35542.63772330702
T1188544,35273.21575404766
T1188545,34982.214953271025
T1188546,27686.221849865953
T1188547,35273.21575404766
T1188548,46478.80126728111
T1188549,27976.36410550459
T1188550,33361.146892655364
T1188551,35273.21575404766
T1188552,19110.740535083292
T1188553,35542.63772330702
T1188554,60844.82864450128
T1188555,35273.21575404766
T1188556,51970.666328600404
T1188557,22127.083939193653
T1188558,27686.221849865953
T1188559,33361.146892655364
T1188560,35542.63772330702
T1188561,38099.450873362446
T1188562,25051.21938088829
T1188563,35273.21575404766
T1188564,56101.58405172414
T1188565,38099.450873362446
T1188566,38603.1652173913
T1188567,45422.653603517494
T1188568,22127.083939193653
T1188569,35542.63772330702
T1188570,34982.214953271025
T1188571,26031.756032171583
T1188572,60844.82864450128
T1188573,28829.47233468286
T1188574,34982.214953271025
T1188575,35542.63772330702
T1188576,60844.82864450128
T1188577,35273.21575404766
T1188578,28829.47233468286
T1188579,33361.146892655364
T1188580,33361.146892655364
T1188581,30065.195235148516
T1188582,26255.74196141479
T1188583,29914.632841328414
T1188584,25051.21938088829
T1188585,78331.23185759927
T1188586,35273.21575404766
T1188587,45422.653603517494
T1188588,29914.632841328414
T1188589,23697.635627530366
T1188590,35542.63772330702
T1188591,26961.719157472417
T1188592,28597.414468085106
T1188593,19110.740535083292
T1188594,60844.82864450128
T1188595,30065.195235148516
T1188596,34982.214953271025
T1188597,78331.23185759927
T1188598,60844.82864450128
T1188599,51590.04082568808
T1188600,29914.632841328414
T1188601,40416.92479908151
T1188602,25794.42206235012
T1188603,71731.8971273292
T1188604,35542.63772330702
T1188605,45422.653603517494
T1188606,26255.74196141479
T1188607,55196.417004048584
T1188608,38603.1652173913
T1188609,25794.42206235012
T1188610,56101.58405172414
T1188611,27686.221849865953
T1188612,44452.43521594685
T1188613,45422.653603517494
T1188614,51970.666328600404
T1188615,28829.47233468286
T1188616,52402.7350859454
T1188617,27686.221849865953
T1188618,46478.80126728111
T1188619,22127.083939193653
T1188620,35542.63772330702
T1188621,30065.195235148516
T1188622,33361.146892655364
T1188623,45422.653603517494
T1188624,23494.421678783874
T1188625,56101.58405172414
T1188626,33361.146892655364
T1188627,33361.146892655364
T1188628,40416.92479908151
T1188629,30065.195235148516
T1188630,34982.214953271025
T1188631,27686.221849865953
T1188632,38099.450873362446
T1188633,35273.21575404766
T1188634,29914.632841328414
T1188635,38603.1652173913
T1188636,26031.756032171583
T1188637,45422.653603517494
T1188638,28829.47233468286
T1188639,60844.82864450128
T1188640,23494.421678783874
T1188641,33361.146892655364
T1188642,35608.73854447439
T1188643,38099.450873362446
T1188644,25794.42206235012
T1188645,30155.15882352941
T1188646,30065.195235148516
T1188647,28829.47233468286
T1188648,34982.214953271025
T1188649,25794.42206235012
T1188650,28636.844621513945
T1188651,30065.195235148516
T1188652,60418.36389753412
T1188653,45422.653603517494
T1188654,35542.63772330702
T1188655,26961.719157472417
T1188656,42156.03048780488
T1188657,40416.92479908151
T1188658,38099.450873362446
T1188659,45205.319755600816
T1188660,30065.195235148516
T1188661,51970.666328600404
T1188662,60844.82864450128
T1188663,35273.21575404766
T1188664,19110.740535083292
T1188665,35542.63772330702
T1188666,46943.856573705176
T1188667,35542.63772330702
T1188668,60844.82864450128
T1188669,60844.82864450128
T1188670,60844.82864450128
T1188671,60844.82864450128
T1188672,60844.82864450128
T1188673,51970.666328600404
T1188674,34982.214953271025
